user_id,plan_id,purchase_type,purchased_at,amount
u0000660,12-months,sale,2019-07-16 12:15:36.000000,24.32
u0007173,1-month,sale,2019-08-15 09:56:10.000000,4.01
u0027183,1-month,sale,2019-06-16 03:55:19.000000,4.3
u0015639,12-months,sale,2019-12-11 17:47:30.000000,23.93
u0012411,1-month,sale,2019-06-12 19:35:54.000000,3.42
u0010444,12-months,sale,2019-06-18 06:55:36.000000,26.78
u0027797,1-month,sale,2019-06-20 17:02:18.000000,4.3
u0026081,1-month,sale,2019-06-09 19:01:59.000000,4.01
u0010469,12-months,sale,2019-06-29 07:36:56.000000,23.93
u0025677,1-month,sale,2019-06-11 07:15:14.000000,4.29
u0025695,1-month,sale,2019-06-25 17:00:49.000000,4.27
u0008780,12-months,sale,2019-06-13 15:12:25.000000,24.12
u0027833,12-months,sale,2019-06-24 23:22:50.000000,27.67
u0017113,6-months,sale,2019-06-26 22:47:43.000000,11.96
u0000643,12-months,sale,2019-06-15 17:23:34.000000,25.85
u0027247,1-month,sale,2019-06-08 01:01:51.000000,4.3
u0000135,12-months,sale,2019-06-14 20:17:15.000000,25.91
u0023179,1-month,sale,2019-06-22 08:18:24.000000,4.63
u0013173,1-month,sale,2019-11-23 11:52:45.000000,4.01
u0015983,6-months,sale,2019-06-27 02:28:35.000000,12.83
u0013113,1-month,sale,2019-06-18 11:33:12.000000,4.05
u0000694,1-month,sale,2019-06-18 02:01:37.000000,4.34
u0026790,6-months,sale,2019-06-16 00:11:16.000000,12.92
u0000214,1-month,sale,2019-07-27 23:52:43.000000,4.33
u0024256,12-months,sale,2019-06-19 20:46:55.000000,24.12
u0005513,6-months,sale,2019-06-27 15:39:31.000000,12.83
u0017574,1-month,sale,2019-06-20 19:08:29.000000,4.3
u0000570,1-month,sale,2019-06-11 19:59:23.000000,3.41
u0026009,6-months,sale,2019-06-22 23:13:27.000000,12.06
u0011548,12-months,sale,2019-06-16 12:07:55.000000,20.47
u0020910,1-month,sale,2019-06-13 06:37:51.000000,4.3
u0004753,1-month,sale,2019-06-11 01:22:09.000000,4.53
u0022719,1-month,sale,2019-06-09 03:42:22.000000,4.3
u0022537,12-months,sale,2019-06-20 19:31:43.000000,24.12
u0000772,6-months,sale,2019-06-29 15:14:31.000000,11.6
u0019975,1-month,sale,2019-06-18 14:07:24.000000,4.34
