user_id,signup_date
u0000001,2019-06-18 08:31:44.527000
u0000002,2019-06-15 08:02:51.137000
u0000003,2019-06-11 15:30:01.531000
u0000004,2019-06-10 03:26:28.476000
u0000005,2019-06-22 18:42:32.667000
u0000006,2019-06-06 11:33:18.330000
u0000007,2019-06-06 13:25:56.361000
u0000008,2019-06-06 15:47:31.715000
u0000009,2019-06-06 16:26:33.786000
u0000010,2019-06-06 18:38:15.753000
u0000011,2019-06-06 19:43:16.498000
u0000012,2019-06-06 21:52:31.165000
u0000013,2019-06-06 23:49:57.453000
u0000014,2019-06-07 01:48:53.325000
u0000015,2019-06-07 06:02:19.746000
u0000016,2019-06-07 07:55:34.217000
u0000017,2019-06-07 11:11:55.959000
u0000018,2019-06-07 11:55:49.880000
u0000019,2019-06-07 12:44:10.440000
u0000020,2019-06-07 15:34:03.919000
u0000021,2019-06-07 16:56:57.222000
u0000022,2019-06-07 19:05:09.825000
u0000023,2019-06-07 20:07:27.138000
u0000024,2019-06-07 21:06:33.903000
u0000025,2019-06-07 22:05:11.037000
u0000026,2019-06-07 22:51:56.947000
u0000027,2019-06-08 00:13:08.079000
u0000028,2019-06-08 00:37:45.294000
u0000029,2019-06-08 02:28:35.043000
u0000030,2019-06-08 03:07:59.505000
u0000031,2019-06-08 04:18:39.004000
u0000032,2019-06-08 06:34:04.673000
u0000033,2019-06-08 09:12:39.793000
u0000034,2019-06-08 10:44:45.065000
u0000035,2019-06-08 11:09:10.017000
u0000036,2019-06-08 13:57:32.296000
u0000037,2019-06-08 15:05:27.135000
u0000038,2019-06-08 16:57:04.392000
u0000039,2019-06-08 17:08:10.268000
u0000040,2019-06-08 18:39:20.344000
u0000041,2019-06-08 20:11:37.090000
u0000042,2019-06-08 21:17:06.103000
u0000043,2019-06-09 00:00:14.159000
u0000044,2019-06-09 02:20:07.151000
u0000045,2019-06-09 02:39:09.940000
u0000046,2019-06-09 03:13:32.993000
u0000047,2019-06-09 04:17:03.991000
u0000048,2019-06-09 04:28:25.300000
u0000049,2019-06-09 07:07:34.904000
u0000050,2019-06-09 08:44:09.805000
u0000051,2019-06-09 09:50:49.054000
u0000052,2019-06-09 10:55:26.461000
u0000053,2019-06-09 12:22:10.129000
u0000054,2019-06-09 12:46:42.710000
u0000055,2019-06-09 14:41:12.733000
u0000056,2019-06-09 15:24:59.888000
u0000057,2019-06-09 16:08:08.088000
u0000058,2019-06-09 17:08:49.451000
u0000059,2019-06-09 18:39:18.554000
u0000060,2019-06-09 19:16:50.178000
u0000061,2019-06-09 19:50:04.303000
u0000062,2019-06-09 20:49:32.504000
u0000063,2019-06-09 21:41:27.724000
u0000064,2019-06-09 22:16:33.322000
u0000065,2019-06-09 22:59:23.633000
u0000066,2019-06-09 23:35:11.478000
u0000067,2019-06-10 01:08:41.477000
u0000068,2019-06-10 02:41:44.347000
u0000069,2019-06-10 04:48:29.084000
u0000070,2019-06-10 06:28:43.566000
u0000071,2019-06-10 08:32:29.928000
u0000072,2019-06-10 09:17:57.912000
u0000073,2019-06-10 11:19:50.669000
u0000074,2019-06-10 12:20:26.952000
u0000075,2019-06-10 13:04:24.459000
u0000076,2019-06-10 14:48:22.959000
u0000077,2019-06-10 19:33:50.898000
u0000078,2019-06-10 18:53:15.340000
u0000079,2019-06-10 17:43:57.736000
u0000080,2019-06-10 18:11:30.309000
u0000081,2019-06-10 18:37:30.821000
u0000082,2019-06-14 13:42:21.821000
u0000083,2019-06-10 19:19:19.649000
u0000084,2019-06-10 19:43:06.325000
u0000085,2019-06-10 20:23:21.216000
u0000086,2019-06-10 21:53:09.837000
u0000087,2019-06-10 23:13:32.992000
u0000088,2019-06-10 23:45:13.936000
u0000089,2019-06-11 00:33:48.481000
u0000090,2019-06-11 02:10:31.119000
u0000091,2019-06-11 03:36:02.875000
u0000092,2019-06-11 04:50:31.710000
u0000093,2019-06-11 05:34:46.324000
u0000094,2019-06-11 06:47:15.062000
u0000095,2019-06-11 08:55:02.653000
u0000096,2019-06-11 11:31:57.512000
u0000097,2019-06-11 12:53:34.464000
u0000098,2019-06-11 13:18:32.367000
u0000099,2019-06-11 13:59:19.796000
u0000100,2019-06-11 16:09:08.303000
u0000101,2019-06-11 16:56:31.746000
u0000102,2019-06-11 17:35:56.085000
u0000103,2019-06-11 18:22:13.472000
u0000104,2019-06-11 19:46:24.803000
u0000105,2019-06-11 20:18:42.186000
u0000106,2019-06-11 21:38:31.895000
u0000107,2019-06-11 22:24:28.270000
u0000108,2019-06-12 00:17:04.156000
u0000109,2019-06-12 01:03:03.881000
u0000110,2019-06-12 01:45:40.174000
u0000111,2019-06-12 05:42:16.672000
u0000112,2019-06-12 09:17:17.192000
u0000113,2019-06-12 10:05:54.175000
u0000114,2019-06-12 12:03:56.782000
u0000115,2019-06-12 13:28:36.626000
u0000116,2019-06-12 15:02:13.588000
u0000117,2019-06-12 16:21:04.893000
u0000118,2019-06-12 18:18:51.577000
u0000119,2019-06-12 20:01:26.753000
u0000120,2019-06-12 21:41:16.443000
u0000121,2019-06-12 23:42:21.624000
u0000122,2019-06-13 02:00:20.176000
u0000123,2019-06-13 04:32:22.566000
u0000124,2019-06-13 05:49:59.123000
u0000125,2019-06-13 09:10:29.725000
u0000126,2019-06-13 10:38:48.858000
u0000127,2019-06-13 13:23:53.363000
u0000128,2019-06-13 15:06:15.076000
u0000129,2019-06-13 16:18:52.239000
u0000130,2019-06-13 16:46:52.785000
u0000131,2019-06-13 17:17:14.093000
u0000132,2019-06-13 17:59:14.428000
u0000133,2019-06-13 18:23:11.277000
u0000134,2019-06-13 19:30:24.070000
u0000135,2019-06-13 19:50:23.862000
u0000136,2019-06-13 20:27:24.347000
u0000137,2019-06-13 20:53:18.882000
u0000138,2019-06-13 21:28:24.427000
u0000139,2019-06-13 23:57:24.633000
u0000140,2019-06-14 00:41:42.201000
u0000141,2019-06-14 01:37:25.223000
u0000142,2019-06-14 02:48:18.011000
u0000143,2019-06-14 05:54:41.412000
u0000144,2019-06-14 09:08:53.733000
u0000145,2019-06-14 10:27:47.329000
u0000146,2019-06-14 12:31:42.077000
u0000147,2019-06-14 13:02:35.127000
u0000148,2019-06-14 14:31:51.839000
u0000149,2019-06-14 16:15:39.727000
u0000150,2019-06-14 17:59:52.080000
u0000151,2019-06-14 19:07:42.684000
u0000152,2019-06-14 19:42:45.173000
u0000153,2019-06-14 21:19:21.661000
u0000154,2019-06-14 21:42:05.672000
u0000155,2019-06-14 22:30:31.780000
u0000156,2019-06-15 00:19:34.220000
u0000157,2019-06-15 01:32:58.612000
u0000158,2019-06-15 04:11:02.254000
u0000159,2019-06-15 06:35:15.970000
u0000160,2019-06-14 08:25:29.735000
u0000161,2019-06-22 21:28:03.669000
u0000162,2019-06-09 20:13:02.611000
u0000163,2019-06-18 20:27:28.856000
u0000164,2019-06-18 18:10:38.448000
u0000165,2019-06-10 04:07:57.192000
u0000166,2019-06-06 13:37:18.324000
u0000167,2019-06-06 15:53:44.296000
u0000168,2019-06-06 16:57:14.350000
u0000169,2019-06-06 19:26:47.540000
u0000170,2019-06-06 20:04:28.249000
u0000171,2019-06-06 22:20:37.426000
u0000172,2019-06-06 23:54:23.808000
u0000173,2019-06-07 01:50:38.148000
u0000174,2019-06-07 06:23:02.073000
u0000175,2019-06-08 05:16:05.538000
u0000176,2019-06-07 11:13:06.616000
u0000177,2019-06-07 12:16:45.574000
u0000178,2019-06-07 13:03:35.264000
u0000179,2019-06-07 15:36:36.083000
u0000180,2019-06-07 17:11:05.744000
u0000181,2019-06-07 19:53:22.842000
u0000182,2019-06-07 20:19:48.237000
u0000183,2019-06-07 21:11:22.952000
u0000184,2019-06-07 22:05:45.098000
u0000185,2019-06-07 23:02:33.085000
u0000186,2019-06-08 00:21:25.026000
u0000187,2019-06-08 01:33:42.620000
u0000188,2019-06-08 02:33:12.452000
u0000189,2019-06-08 03:09:39.160000
u0000190,2019-06-08 04:35:31.893000
u0000191,2019-06-08 07:06:25.108000
u0000192,2019-06-08 09:30:51.238000
u0000193,2019-06-08 10:49:26.091000
u0000194,2019-06-08 12:07:48.188000
u0000195,2019-06-08 14:40:47.158000
u0000196,2019-06-08 15:28:16.878000
u0000197,2019-06-08 16:56:28.588000
u0000198,2019-06-09 13:20:38.645000
u0000199,2019-06-08 19:15:29.645000
u0000200,2019-06-08 20:45:07.673000
u0000201,2019-06-08 21:23:44.798000
u0000202,2019-06-09 00:46:00.819000
u0000203,2019-06-09 02:24:41.484000
u0000204,2019-06-09 02:39:36.112000
u0000205,2019-06-09 03:19:38.882000
u0000206,2019-06-09 04:19:00.615000
u0000207,2019-06-09 05:47:35.083000
u0000208,2019-06-09 07:08:48.360000
u0000209,2019-06-09 09:05:45.896000
u0000210,2019-06-09 09:51:40.078000
u0000211,2019-06-09 11:13:31.660000
u0000212,2019-06-09 12:27:22.613000
u0000213,2019-06-09 14:04:32.388000
u0000214,2019-06-09 14:41:18.493000
u0000215,2019-06-09 15:49:19.179000
u0000216,2019-06-09 16:15:53.671000
u0000217,2019-06-09 17:30:42.833000
u0000218,2019-06-09 18:46:12.076000
u0000219,2019-06-09 19:21:28.340000
u0000220,2019-06-09 19:52:37.614000
u0000221,2019-06-09 20:55:58.646000
u0000222,2019-06-09 21:59:30.179000
u0000223,2019-06-09 22:20:44.316000
u0000224,2019-06-09 23:11:07.976000
u0000225,2019-06-09 23:43:31.379000
u0000226,2019-06-10 01:17:46.315000
u0000227,2019-06-10 03:28:43.983000
u0000228,2019-06-10 05:53:46.996000
u0000229,2019-06-10 07:04:25.992000
u0000230,2019-06-10 08:40:51.288000
u0000231,2019-06-10 09:38:18.480000
